国民民主党の政調会長は？,1,大塚耕平,前原誠司,菅直人,玉木雄一郎
大塚耕平さんの所属する政党は？,1,国民民主党,立憲民主党,自由民主党,日本共産党
国民民主党の幹事長は？,4,大塚耕平,前原誠司,安住淳,榛葉賀津也
榛葉賀津也さんの所属する政党は？,1,国民民主党,立憲民主党,自由民主党,日本共産党
国民民主党の代表は？,4,大塚耕平,前原誠司,枝野幸夫,玉木雄一郎
玉木雄一郎さんの所属する政党は？,1,国民民主党,立憲民主党,自由民主党,日本共産党
玉木雄一郎さんの誕生日は？,4,2月1日,3月1日,4月1日,5月1日
玉木雄一郎さんの生年は？,3,1967年,1968年,1969年,1970年
玉木雄一郎さんの年齢は？,3,32歳,42歳,52歳,62歳
浅野哲さんの選挙区は?,2,和歌山1区,茨城5区,香川2区,長崎1区
岸本周平さんの選挙区は?,1,和歌山1区,茨城5区,香川2区,長崎1区
玉木雄一郎さんの選挙区は?,3,和歌山1区,茨城5区,香川2区,長崎1区
西岡秀子さんの選挙区は?,4,和歌山1区,茨城5区,香川2区,長崎1区
古川元久さんの選挙区は?,4,和歌山1区,茨城5区,香川2区,愛知2区
前原誠司さんの選挙区は?,4,和歌山1区,茨城5区,香川2区,京都2区
矢田わか子さんの所属する政党は？,1,国民民主党,立憲民主党,自由民主党,日本共産党
矢田わか子さんの誕生日は？,4,6月25日,7月25日,8月25日,9月25日
矢田わか子さんの生年は？,1,1965年,1966年,1967年,1968年
矢田わか子さんの年齢は？,3,36歳,46歳,56歳,66歳
矢田わか子さんはどこの組織内議員か？,1,電機連合,UAゼンセン,JAM,基幹労連
浅野哲さんはどこの組織内議員か？,1,電機連合,UAゼンセン,JAM,基幹労連
岸本周平さんはどこの政治顧問か?,3,JAM,UAゼンセン,基幹労連,自動車総連
かわいたかのりさんはどこの組織内議員か？,2,電機連合,UAゼンセン,JAM,基幹労連
田村まみさんはどこの組織内議員か？,2,電機連合,UAゼンセン,JAM,基幹労連
国民民主党の選対委員長は？,2,大塚耕平,前原誠司,安住淳,榛葉賀津也
国民民主党の国対委員長は？,2,大塚耕平,古川元久,安住淳,榛葉賀津也
国民民主党の役員室長は？,2,大塚耕平,伊藤孝恵,安住淳,榛葉賀津也
国民民主党の副代表は？,2,大塚耕平,矢田わか子,安住淳,榛葉賀津也
国民民主党の幹事長代行は？,2,大塚耕平,岸本周平,安住淳,榛葉賀津也
国民民主党の憲法調査会長は？,2,大塚耕平,古川元久,安住淳,榛葉賀津也
